name,split,chef_avg_reward,chef_total_reward,chef_avg_sequence_reward,chef_avg_format_reward,assistant_avg_reward,assistant_total_reward,assistant_avg_sequence_reward,assistant_avg_format_reward
baked_bell_pepper,test,0.6336717291872564,6.3367172918725645,0.8336717291872565,-0.2,0.9486537771580412,9.486537771580412,0.9486537771580412,0.0
baked_bell_pepper_soup,unknown,-0.4229156257454852,-4.229156257454852,0.5370843742545149,-0.9600000000000002,0.1447110701263915,1.447110701263915,0.5647110701263915,-0.42000000000000004
baked_carrot_soup,unknown,0.25135115008134745,2.5135115008134745,0.6913511500813475,-0.43999999999999995,0.5327637986867859,5.32763798686786,0.772763798686786,-0.24
baked_mushroom_soup,unknown,0.058151879551862906,0.5815187955186291,0.638151879551863,-0.5800000000000001,0.364862497471956,3.64862497471956,0.6648624974719561,-0.3
baked_potato_slices,test,0.5422802355201907,5.422802355201907,0.7422802355201907,-0.2,0.5856105980983712,5.856105980983712,0.6656105980983712,-0.08
baked_potato_soup,unknown,0.006873402074800411,0.06873402074800411,0.6668734020748005,-0.66,0.5025928145734724,5.025928145734724,0.7425928145734725,-0.24000000000000005
baked_pumpkin_slices,train,0.32640326509520706,3.2640326509520707,0.6064032650952071,-0.28,0.4946592388169145,4.946592388169145,0.6946592388169146,-0.20000000000000004
baked_pumpkin_soup,unknown,0.015545650172757724,0.15545650172757725,0.5755456501727578,-0.5599999999999999,0.3492596478465087,3.492596478465087,0.7292596478465088,-0.38000000000000006
baked_sweet_potato,train,0.5730421825079359,5.730421825079359,0.753042182507936,-0.18,0.9808284652150823,9.808284652150823,0.9808284652150823,0.0
boiled_corn_slices,dev,0.4537489507126759,4.537489507126759,0.7137489507126759,-0.26,0.6116981277972067,6.116981277972067,0.7316981277972067,-0.12000000000000002
boiled_egg,train,0.6170577057061418,6.1705770570614185,0.7970577057061419,-0.18000000000000002,1.0,10.0,1.0,0.0
boiled_green_bean_slices,train,0.5104807377382751,5.104807377382751,0.6304807377382751,-0.12000000000000002,0.5210889267631058,5.210889267631058,0.7010889267631057,-0.18000000000000002
boiled_mushroom,train,0.5491116172740773,5.491116172740774,0.7891116172740774,-0.24000000000000005,0.8608284652150824,8.608284652150823,0.9808284652150823,-0.12000000000000002
boiled_potato_slices,train,0.6145069321798292,6.145069321798292,0.7945069321798293,-0.18000000000000002,0.6464187705032021,6.464187705032021,0.7064187705032021,-0.06000000000000001
boiled_sweet_potato,train,0.8180737827021103,8.180737827021103,0.8180737827021103,0.0,0.8008284652150823,8.008284652150824,0.9808284652150823,-0.18000000000000002
mashed_broccoli_and_bean_patty,unknown,-1.1461948724299498,-11.461948724299498,0.43380512757005035,-1.5800000000000003,-0.37082205675742086,-3.708220567574209,0.5491779432425792,-0.9199999999999999
mashed_carrot_and_chickpea_patty,unknown,-0.15485944891846523,-1.5485944891846524,0.3651405510815348,-0.52,-0.02291821573849595,-0.2291821573849595,0.4970817842615041,-0.52
mashed_cauliflower_and_lentil_patty,unknown,-0.09428378641370846,-0.9428378641370847,0.5057162135862916,-0.6,-0.2937509758705318,-2.9375097587053176,0.4462490241294684,-0.74
mashed_potato_and_pea_patty,unknown,-0.3038028719265573,-3.038028719265573,0.4561971280734428,-0.76,-0.37939178136972407,-3.7939178136972407,0.5206082186302761,-0.9
mashed_sweet_potato_and_bean_patty,unknown,-0.5417188950062645,-5.417188950062645,0.41828110499373566,-0.96,-0.5609515204492057,-5.609515204492057,0.5590484795507944,-1.12
potato_carrot_and_onion_patty,unknown,-3.516980460575327,-35.16980460575327,0.32301953942467343,-3.840000000000001,-0.2748514328446343,-2.748514328446343,0.3851485671553658,-0.66
romaine_lettuce_pea_and_tomato_patty,unknown,-2.2346125069632206,-22.346125069632205,0.4053874930367799,-2.64,-0.3030166094258768,-3.0301660942587683,0.41698339057412326,-0.72
sliced_bell_pepper_and_corn_stew,unknown,-0.6202868788464313,-6.202868788464313,0.43971312115356886,-1.06,0.0032218269203211913,0.03221826920321191,0.6632218269203213,-0.66
sliced_bell_pepper_and_lentil_stew,unknown,0.028515392142608127,0.28515392142608126,0.5285153921426082,-0.5,-0.0551493273644406,-0.551493273644406,0.5648506726355594,-0.62
sliced_eggplant_and_chickpea_stew,unknown,0.4379972133670008,4.379972133670008,0.5379972133670008,-0.1,0.22773381872840584,2.2773381872840583,0.4677338187284059,-0.24000000000000005
sliced_pumpkin_and_chickpea_stew,unknown,-0.2712692397552508,-2.712692397552508,0.3887307602447493,-0.66,0.22579373853921586,2.2579373853921587,0.6057937385392159,-0.38
sliced_zucchini_and_chickpea_stew,unknown,0.0018602097257001654,0.018602097257001654,0.5218602097257002,-0.52,0.2561702489960465,2.561702489960465,0.6161702489960466,-0.36
sweet_potato_spinach_and_mushroom_patty,unknown,-1.28812638857277,-12.8812638857277,0.3518736114272301,-1.6400000000000001,-0.5233814181444714,-5.233814181444713,0.31661858185552877,-0.8400000000000001
taro_bean_and_bell_pepper_patty,unknown,-2.0553338357270077,-20.55333835727008,0.3246661642729925,-2.3800000000000003,-1.2943968342393022,-12.943968342393022,0.34560316576069794,-1.64
zucchini_green_pea_and_onion_patty,unknown,-3.1196611838727835,-31.196611838727836,0.3603388161272164,-3.4800000000000004,-0.5127975175383437,-5.127975175383437,0.34720248246165647,-0.86
